po_number,item,supplier_name,order_dt,delivery_dt,qty_ordered,status
PO9786,SKU159,Global Supplies,2022/07/07,2022-07-16,4902,Delayed
PO9787,SKU139,Prime Wholesale,2024/04/09,2024-04-28,4463,Delivered
PO9788,Coffee 200g,ABC Traders,2023/05/03,2023-05-28,2185,Delayed
PO9789,SKU137,FreshSource Ltd,2023/04/14,2023-05-08,3787,Delayed
PO9790,Detergent 2kg,ABC Traders,2024/01/25,,859,Delivered
PO9791,Sunflower Oil 2L,ABC Traders,2024/01/09,,3993,Delayed
PO9792,SKU126,Om Distributors,2024/06/13,2024-06-19,4992,Pending
PO9793,Coffee 200g,FreshSource Ltd,2024/06/11,2024-07-02,3482,Cancelled
PO9794,Biscuits 100g,ABC Traders,2023/09/05,2023-09-08,960,Delayed
PO9795,Milk 1L,Global Supplies,2022/07/10,2022-08-09,1851,In Transit
PO9796,Sunflower Oil 5L,Om Distributors,2022/09/15,2022-10-11,3939,Delayed
PO9797,Detergent 500g,Global Supplies,2022/07/27,2022-08-12,2024,Delayed
PO9798,SKU144,FreshSource Ltd,2023/05/30,2023-06-16,3844,Pending
PO9799,SKU125,Prime Wholesale,2022/05/27,2022-06-25,2327,Pending
PO9800,SKU101,ABC Traders,2024/06/15,,3806,Pending
PO9801,Sunflower Oil 5L,FreshSource Ltd,2022/07/13,2022-08-01,2991,Delayed
PO9802,Peanut Butter Crunchy 1kg,FreshSource Ltd,2023/03/15,2023-04-09,516,Delayed
PO9803,SKU159,FreshSource Ltd,2023/06/19,2023-07-10,3051,Pending
PO9804,Peanut Butter Crunchy 1kg,Global Supplies,2023/07/10,2023-07-23,476,Delayed
PO9805,Milk 1L,ABC Traders,2024/05/09,2024-06-08,2853,Delivered
PO9806,Detergent 2kg,Global Supplies,2022/12/11,2023-01-03,4265,In Transit
PO9807,SKU147,FreshSource Ltd,2024/04/29,2024-05-28,294,Pending
PO9808,SKU144,FreshSource Ltd,2023/12/30,2024-01-17,2157,Delayed
PO9809,SKU102,Om Distributors,2023/10/09,2023-11-04,3397,Cancelled
PO9810,Detergent 1kg,Om Distributors,2023/04/01,,686,In Transit
PO9811,SKU131,Prime Wholesale,2024/06/24,2024-07-16,2780,Delivered
PO9812,Biscuits 200g,Global Supplies,2022/10/21,2022-11-09,2708,In Transit
PO9813,SKU148,FreshSource Ltd,2024/02/02,2024-02-08,4612,Cancelled
PO9814,SKU101,FreshSource Ltd,2022/10/25,,4945,Cancelled
PO9815,SKU139,ABC Traders,2022/02/10,2022-03-10,3334,Cancelled
PO9816,SKU141,Global Supplies,2023/02/08,2023-02-22,2429,Cancelled
PO9817,Detergent 500g,Prime Wholesale,2023/06/12,,4422,Delivered
PO9818,SKU128,Om Distributors,2023/06/18,,3505,Delayed
PO9819,Sunflower Oil 2L,Prime Wholesale,2022/01/10,2022-01-26,4596,Pending
PO9820,Peanut Butter Crunchy 500g,Global Supplies,2022/10/08,2022-10-23,2857,Delivered
PO9821,Detergent 500g,Prime Wholesale,2023/02/11,,2542,Pending
PO9822,SKU142,Om Distributors,2024/09/12,2024-09-23,1835,Delayed
PO9823,SKU108,Prime Wholesale,2024/03/22,2024-04-01,4173,Cancelled
PO9824,Detergent 1kg,Prime Wholesale,2022/11/04,2022-11-17,595,Delivered
PO9825,SKU125,FreshSource Ltd,2024/01/20,2024-02-16,2954,Delayed
PO9826,SKU111,Prime Wholesale,2024/07/29,2024-08-26,2045,Pending
PO9827,SKU131,FreshSource Ltd,2022/09/09,2022-09-24,3628,Pending
PO9828,SKU136,ABC Traders,2024/06/14,,3302,Delayed
PO9829,Detergent 1kg,ABC Traders,2023/12/22,2024-01-06,1627,Delivered
PO9830,SKU114,ABC Traders,2023/03/04,2023-04-03,601,Delayed
PO9831,Milk 1L,ABC Traders,2022/04/07,2022-04-20,2774,Delayed
PO9832,Milk 500ml,FreshSource Ltd,2024/01/14,2024-01-20,4609,Delivered
PO9833,SKU111,ABC Traders,2022/05/27,,4253,Delivered
PO9834,SKU125,Global Supplies,2022/09/05,2022-09-18,4308,Delivered
PO9835,SKU159,FreshSource Ltd,2023/07/27,2023-08-25,409,Cancelled
PO9836,SKU143,Prime Wholesale,2023/09/19,2023-10-15,4247,Delivered
PO9837,Detergent 500g,Prime Wholesale,2022/12/09,2023-01-03,3127,Cancelled
PO9838,Milk 1L,Global Supplies,2022/08/24,2022-09-21,4054,Delivered
PO9839,Sunflower Oil 2L,Om Distributors,2023/03/18,2023-04-06,2820,In Transit
PO9840,Biscuits 500g,Om Distributors,2023/02/18,2023-03-10,931,Delivered
PO9841,SKU100,Prime Wholesale,2023/09/05,2023-09-24,2343,Pending
PO9842,Milk 500ml,ABC Traders,2024/07/28,2024-08-27,896,In Transit
PO9843,Biscuits 500g,Global Supplies,2023/12/02,2023-12-11,2675,Cancelled
PO9844,SKU148,ABC Traders,2022/12/11,2022-12-18,1298,Delayed
PO9845,SKU130,Prime Wholesale,2022/07/28,2022-08-15,3268,Pending
PO9846,SKU153,ABC Traders,2023/01/19,,2197,Pending
PO9847,SKU135,FreshSource Ltd,2022/08/29,2022-09-15,2999,In Transit
PO9848,SKU145,ABC Traders,2023/09/27,2023-10-06,1387,In Transit
PO9849,SKU111,Prime Wholesale,2022/05/11,,3289,Cancelled
PO9850,Tea 500g,Om Distributors,2023/10/08,2023-11-01,3967,In Transit
PO9851,Biscuits 100g,Global Supplies,2024/03/12,,2198,Pending
PO9852,Detergent 1kg,FreshSource Ltd,2022/04/08,,3818,Delivered
PO9853,SKU135,Om Distributors,2022/02/28,2022-03-13,4855,In Transit
PO9854,SKU118,Prime Wholesale,2022/07/31,2022-08-04,2611,Cancelled
PO9855,SKU146,Om Distributors,2023/08/13,2023-08-30,3290,Delivered
PO9856,SKU135,Prime Wholesale,2024/02/09,2024-02-28,1734,Pending
PO9857,SKU133,Prime Wholesale,2022/05/08,2022-05-21,3190,Delayed
PO9858,SKU159,Om Distributors,2023/03/06,,4238,In Transit
PO9859,Biscuits 200g,Global Supplies,2022/06/13,2022-07-04,1013,Delayed
PO9860,SKU136,FreshSource Ltd,2023/05/17,,3999,In Transit
PO9861,SKU129,FreshSource Ltd,2022/06/11,,1734,Delayed
PO9862,Sunflower Oil 2L,FreshSource Ltd,2023/07/01,,4779,Delivered
PO9863,Detergent 500g,FreshSource Ltd,2022/01/20,2022-01-27,1500,Cancelled
PO9864,SKU117,Om Distributors,2023/02/23,2023-02-28,3815,Pending
PO9865,SKU121,Global Supplies,2023/12/16,2024-01-14,2107,In Transit
PO9866,SKU139,Om Distributors,2023/02/25,2023-03-24,3422,In Transit
PO9867,SKU138,FreshSource Ltd,2023/05/18,2023-05-29,993,Delivered
PO9868,SKU151,Om Distributors,2024/05/12,,4951,Delayed
PO9869,SKU133,Global Supplies,2022/12/06,2022-12-15,2755,In Transit
PO9870,SKU151,Prime Wholesale,2024/05/09,2024-06-03,638,Delayed
PO9871,SKU157,ABC Traders,2022/01/10,2022-01-16,3191,Delivered
PO9872,SKU126,Global Supplies,2024/03/10,,4011,In Transit
PO9873,SKU141,ABC Traders,2023/08/09,2023-09-04,4211,Pending
PO9874,SKU104,FreshSource Ltd,2024/07/28,2024-08-16,1743,Cancelled
PO9875,Sunflower Oil 2L,FreshSource Ltd,2024/07/20,2024-08-08,4544,Cancelled
PO9876,Biscuits 100g,FreshSource Ltd,2024/05/28,2024-06-23,1954,Pending
PO9877,SKU158,Prime Wholesale,2024/03/14,,4873,Cancelled
PO9878,SKU125,Global Supplies,2023/10/22,2023-11-15,3392,Cancelled
PO9879,Detergent 1kg,Om Distributors,2022/07/27,2022-08-03,4361,Cancelled
PO9880,Tea 500g,Global Supplies,2022/08/28,2022-09-26,2368,Pending
PO9881,SKU101,ABC Traders,2023/12/17,2024-01-08,1577,Pending
PO9882,SKU140,Om Distributors,2022/03/23,2022-04-14,4479,Pending
PO9883,SKU134,Global Supplies,2023/02/14,2023-03-16,2107,Cancelled
PO9884,SKU122,Global Supplies,2022/04/18,2022-04-25,1695,Delayed
PO9885,SKU130,Prime Wholesale,2024/05/04,,2461,Delayed
PO9886,SKU113,Om Distributors,2023/04/24,2023-05-06,789,Delayed
PO9887,SKU144,Prime Wholesale,2022/02/09,2022-02-20,256,Pending
PO9888,SKU139,ABC Traders,2022/03/28,2022-04-08,1471,Pending
PO9889,SKU139,FreshSource Ltd,2022/12/13,2022-12-27,4698,Delivered
PO9890,SKU150,FreshSource Ltd,2024/07/12,2024-07-19,938,In Transit
PO9891,Peanut Butter Smooth 200g,Prime Wholesale,2022/02/05,2022-02-23,1444,Delivered
PO9892,Tea 500g,Global Supplies,2023/09/04,2023-09-19,1059,Delayed
PO9893,SKU155,Prime Wholesale,2022/12/04,2022-12-15,1813,In Transit
PO9894,Detergent 1kg,ABC Traders,2023/05/13,2023-05-23,614,Delayed
PO9895,SKU135,ABC Traders,2022/04/10,2022-05-02,2868,In Transit
PO9896,Milk 1L,FreshSource Ltd,2022/02/11,2022-03-12,1079,Delayed
PO9897,SKU128,Prime Wholesale,2022/07/19,2022-07-31,4962,Delivered
PO9898,Biscuits 500g,FreshSource Ltd,2024/03/29,,1134,Cancelled
PO9899,SKU145,ABC Traders,2022/12/30,2023-01-11,4990,Cancelled
PO9900,SKU139,FreshSource Ltd,2023/11/15,,3301,In Transit
PO9901,SKU113,Om Distributors,2024/07/17,2024-08-09,3454,Pending
PO9902,SKU111,Global Supplies,2022/01/20,2022-02-14,2808,Pending
PO9903,SKU128,Global Supplies,2022/05/26,2022-06-01,344,Delivered
PO9904,SKU143,ABC Traders,2022/11/08,2022-11-14,978,Pending
PO9905,SKU114,Global Supplies,2022/11/10,2022-11-25,1964,Pending
PO9906,SKU156,Om Distributors,2022/06/22,2022-07-13,4688,Pending
PO9907,Coffee 200g,Prime Wholesale,2022/11/03,2022-11-07,2255,Cancelled
PO9908,SKU154,Global Supplies,2022/06/06,2022-06-16,2289,Delayed
PO9909,Milk 1L,FreshSource Ltd,2023/06/07,2023-06-15,1273,Pending
PO9910,SKU129,Prime Wholesale,2023/02/16,2023-03-18,4396,Pending
PO9911,SKU142,Om Distributors,2024/07/01,2024-07-30,4800,Cancelled
PO9912,SKU140,FreshSource Ltd,2023/05/20,2023-06-15,1085,Cancelled
PO9913,Milk 500ml,FreshSource Ltd,2024/03/17,2024-04-09,3835,In Transit
PO9914,SKU124,ABC Traders,2024/01/23,2024-02-17,1995,Delivered
PO9915,SKU102,Om Distributors,2023/02/09,2023-02-27,1252,Pending
PO9916,Milk 1L,ABC Traders,2022/04/21,2022-05-16,2353,Pending
PO9917,SKU137,FreshSource Ltd,2022/08/29,2022-09-16,3485,Delivered
PO9918,SKU111,FreshSource Ltd,2022/05/13,2022-05-21,658,In Transit
PO9919,SKU144,Om Distributors,2024/06/11,2024-07-09,1850,Delivered
PO9920,Peanut Butter Smooth 1kg,Prime Wholesale,2023/05/08,,3301,Delivered
PO9921,SKU154,Global Supplies,2024/02/02,,4414,Delivered
PO9922,Milk 1L,ABC Traders,2024/04/11,2024-05-08,3821,Delayed
PO9923,SKU116,Global Supplies,2024/08/25,2024-09-22,2122,Cancelled
PO9924,SKU121,FreshSource Ltd,2024/08/03,2024-08-16,3468,Cancelled
PO9925,Detergent 500g,Global Supplies,2022/03/04,2022-03-25,2309,Delayed
PO9926,SKU114,Prime Wholesale,2024/06/01,,1699,Pending
PO9927,SKU124,FreshSource Ltd,2022/02/27,2022-03-22,4397,Cancelled
PO9928,Milk 500ml,ABC Traders,2023/06/28,2023-07-12,987,Cancelled
PO9929,Milk 1L,Prime Wholesale,2023/07/27,2023-08-03,2364,Delayed
PO9930,SKU102,Prime Wholesale,2024/02/09,2024-02-16,3619,Cancelled
PO9931,SKU104,Om Distributors,2024/02/19,,2944,Pending
PO9932,Milk 1L,Prime Wholesale,2022/02/22,2022-03-06,828,In Transit
PO9933,Detergent 500g,Om Distributors,2022/06/12,2022-07-02,331,Delayed
PO9934,SKU109,Prime Wholesale,2024/09/07,2024-09-23,2000,Cancelled
PO9935,SKU102,Global Supplies,2024/03/16,2024-03-20,1764,In Transit
PO9936,Milk 500ml,Om Distributors,2022/01/30,2022-02-07,3516,Delayed
PO9937,SKU159,Prime Wholesale,2022/06/12,2022-06-27,3076,Cancelled
PO9938,SKU117,Om Distributors,2024/09/02,,2109,Delayed
PO9939,SKU130,FreshSource Ltd,2024/06/21,,1177,Pending
PO9940,SKU138,FreshSource Ltd,2022/04/03,,3675,Delivered
PO9941,SKU139,Om Distributors,2023/01/17,2023-02-09,4459,Delayed
PO9942,Peanut Butter Crunchy 200g,Prime Wholesale,2024/09/10,,354,Delivered
PO9943,Peanut Butter Smooth 200g,ABC Traders,2022/06/05,2022-06-28,3915,Cancelled
PO9944,SKU149,FreshSource Ltd,2022/08/01,,2186,Pending
PO9945,SKU133,FreshSource Ltd,2022/04/17,2022-05-06,4243,In Transit
PO9946,SKU157,ABC Traders,2022/02/28,,270,Cancelled
PO9947,Biscuits 100g,Global Supplies,2022/05/11,2022-06-09,2814,Delivered
PO9948,SKU110,Global Supplies,2022/02/12,2022-03-06,4574,Pending
PO9949,SKU125,FreshSource Ltd,2024/08/22,2024-09-13,823,In Transit
PO9950,SKU127,FreshSource Ltd,2024/09/13,2024-10-01,1859,Cancelled
PO9951,Milk 500ml,Global Supplies,2023/05/30,2023-06-02,3591,Delayed
PO9952,Tea 250g,Prime Wholesale,2022/07/06,2022-07-27,2783,In Transit
PO9953,SKU141,Om Distributors,2023/05/01,2023-05-15,1320,Cancelled
PO9954,SKU110,Om Distributors,2023/11/26,2023-12-21,549,Delayed
PO9955,SKU134,Prime Wholesale,2024/05/30,2024-06-22,1295,Pending
PO9956,Biscuits 100g,Om Distributors,2022/04/26,2022-05-01,4597,Delayed
PO9957,SKU134,Global Supplies,2023/10/18,2023-10-30,2245,Delivered
PO9958,SKU117,Prime Wholesale,2022/03/09,2022-03-17,334,Delivered
PO9959,SKU105,Global Supplies,2024/09/24,,214,Delivered
PO9960,Coffee 200g,ABC Traders,2024/09/19,2024-10-01,1172,Cancelled
PO9961,Peanut Butter Crunchy 500g,Global Supplies,2022/05/20,2022-06-06,1345,In Transit
PO9962,SKU149,FreshSource Ltd,2023/04/24,2023-04-30,1260,In Transit
PO9963,SKU100,ABC Traders,2023/02/07,,3315,Delayed
PO9964,SKU112,Prime Wholesale,2023/06/12,2023-06-24,3134,Delivered
PO9965,SKU158,Om Distributors,2023/01/06,,3556,Cancelled
PO9966,Coffee 200g,ABC Traders,2023/07/03,2023-07-19,1437,Delivered
PO9967,Biscuits 500g,FreshSource Ltd,2023/01/14,2023-01-28,2060,Pending
PO9968,SKU116,ABC Traders,2022/06/21,2022-07-14,3913,Delayed
PO9969,Detergent 500g,Global Supplies,2022/09/29,,1596,Pending
PO9970,SKU136,Prime Wholesale,2023/01/16,2023-02-06,1523,Delivered
PO9971,Biscuits 500g,Om Distributors,2023/04/27,,4585,In Transit
PO9972,Milk 500ml,Global Supplies,2023/10/26,2023-11-05,4584,Pending
PO9973,Detergent 2kg,FreshSource Ltd,2022/09/22,2022-10-20,2388,Delayed
PO9974,Biscuits 500g,Om Distributors,2022/12/05,2022-12-27,4678,Delayed
PO9975,SKU105,Prime Wholesale,2023/05/31,,2830,In Transit
PO9976,SKU117,Prime Wholesale,2023/12/18,2024-01-09,4809,In Transit
PO9977,SKU138,Om Distributors,2023/06/28,2023-07-12,2318,Cancelled
PO9978,Coffee 200g,Global Supplies,2023/11/06,2023-12-01,4485,Cancelled
PO9979,SKU138,Prime Wholesale,2022/02/21,2022-03-05,3948,Pending
PO9980,Milk 1L,FreshSource Ltd,2022/07/12,2022-08-11,1062,Delayed
PO9981,Sunflower Oil 1L,Prime Wholesale,2024/01/07,2024-01-10,4695,Delayed
PO9982,Milk 1L,Global Supplies,2022/06/23,,2113,Delivered
PO9983,SKU159,FreshSource Ltd,2023/09/11,,3882,Cancelled
PO9984,SKU109,ABC Traders,2022/07/05,2022-07-31,605,Delivered
PO9985,SKU128,Om Distributors,2024/07/03,,1951,Cancelled
PO9986,SKU130,Prime Wholesale,2022/12/28,2023-01-21,4603,Delivered
PO9987,SKU144,Prime Wholesale,2023/02/11,,2020,Delivered
PO9988,Detergent 500g,ABC Traders,2022/06/30,2022-07-13,3200,Cancelled
PO9989,SKU115,ABC Traders,2023/06/13,2023-06-18,1042,Delayed
PO9990,Biscuits 200g,ABC Traders,2022/07/28,2022-08-09,474,Pending
PO9991,SKU123,ABC Traders,2023/10/30,2023-11-15,2399,Cancelled
PO9992,SKU132,Prime Wholesale,2023/06/25,2023-07-11,719,Cancelled
PO9993,SKU138,Prime Wholesale,2024/08/20,2024-09-18,4235,Pending
PO9994,Coffee 200g,ABC Traders,2023/08/12,2023-09-04,4519,Delayed
PO9995,Sunflower Oil 2L,Prime Wholesale,2022/11/20,,1679,Delayed
PO9996,SKU101,Om Distributors,2023/12/28,2024-01-08,3547,Delayed
PO9997,SKU105,ABC Traders,2023/10/24,2023-11-21,1818,Delayed
PO9998,SKU149,ABC Traders,2022/03/02,2022-03-14,3182,Delivered
PO9999,Milk 500ml,ABC Traders,2024/05/23,2024-06-06,4604,Delivered
PO10000,SKU103,Global Supplies,2023/02/12,2023-02-26,3014,Pending
PO10001,Peanut Butter Crunchy 500g,FreshSource Ltd,2023/07/01,2023-07-10,1727,Cancelled
PO10002,Detergent 2kg,Prime Wholesale,2022/12/30,2023-01-19,859,Delivered
PO10003,Coffee 200g,Prime Wholesale,2023/02/09,2023-02-16,4250,Delayed
PO10004,SKU118,Global Supplies,2024/07/01,2024-07-06,2733,Delivered
PO10005,SKU124,Prime Wholesale,2023/05/17,2023-06-12,2571,In Transit
PO10006,SKU139,Prime Wholesale,2024/07/02,2024-07-14,1045,In Transit
PO10007,SKU146,Global Supplies,2022/02/11,2022-02-22,2356,In Transit
PO10008,Milk 500ml,ABC Traders,2022/01/31,2022-03-01,1252,Delivered
PO10009,Biscuits 100g,Global Supplies,2023/02/05,2023-02-12,3928,In Transit
PO10010,SKU137,Om Distributors,2024/06/11,2024-06-28,4471,Pending
PO10011,Milk 500ml,Om Distributors,2023/12/20,,4814,Cancelled
PO10012,Milk 500ml,ABC Traders,2023/11/13,2023-11-23,4005,Cancelled
PO10013,Coffee 200g,FreshSource Ltd,2023/09/02,,1321,Cancelled
PO10014,SKU130,ABC Traders,2022/03/13,2022-04-08,3575,In Transit
PO10015,SKU116,FreshSource Ltd,2024/07/21,2024-08-01,1680,Pending
PO10016,Biscuits 200g,Global Supplies,2023/02/07,2023-02-26,2474,In Transit
PO10017,SKU152,Global Supplies,2024/06/26,2024-07-09,3825,Pending
PO10018,SKU143,ABC Traders,2023/02/12,2023-02-15,861,Delayed
PO10019,SKU156,ABC Traders,2022/04/10,2022-05-03,2628,Delivered
PO10020,SKU145,FreshSource Ltd,2022/09/26,2022-10-17,3056,Cancelled
PO10021,Milk 500ml,FreshSource Ltd,2024/02/14,2024-03-05,989,In Transit
PO10022,SKU143,ABC Traders,2022/05/27,2022-06-19,4284,Pending
PO10023,SKU121,ABC Traders,2023/10/24,,1668,Cancelled
PO10024,SKU143,FreshSource Ltd,2023/01/04,2023-02-02,4188,Delayed
PO10025,SKU143,Global Supplies,2022/12/17,,1266,In Transit
PO10026,Tea 500g,Prime Wholesale,2022/06/10,2022-06-28,3845,Pending
PO10027,Coffee 200g,FreshSource Ltd,2023/08/29,2023-09-14,725,Delivered
PO10028,Peanut Butter Crunchy 1kg,Global Supplies,2023/12/25,2024-01-14,4499,Delivered
PO10029,SKU151,ABC Traders,2022/09/19,2022-10-11,4471,Delivered
PO10030,SKU131,Global Supplies,2023/08/06,2023-08-20,3793,Delivered
PO10031,SKU155,Prime Wholesale,2023/04/18,2023-05-08,2919,Pending
PO10032,SKU138,Global Supplies,2023/03/27,2023-04-08,3046,Cancelled
PO10033,SKU155,ABC Traders,2022/12/30,2023-01-17,1374,In Transit
PO10034,Sunflower Oil 5L,Global Supplies,2024/05/08,2024-05-14,3960,Delivered
PO10035,Detergent 500g,FreshSource Ltd,2023/10/14,2023-11-10,1197,Delivered
PO10036,SKU120,Global Supplies,2023/05/14,2023-05-19,3086,Delayed
PO10037,SKU127,Global Supplies,2024/04/06,2024-05-05,2264,Delayed
PO10038,SKU157,Prime Wholesale,2022/12/29,2023-01-03,1609,Delivered
PO10039,Detergent 500g,ABC Traders,2022/08/31,,2182,Delayed
PO10040,SKU115,Om Distributors,2023/08/31,2023-09-30,4032,Cancelled
PO10041,Milk 1L,Om Distributors,2022/04/19,2022-04-28,2473,Delivered
PO10042,Detergent 500g,Om Distributors,2022/02/17,2022-03-05,330,Delayed
PO10043,SKU143,ABC Traders,2023/05/11,2023-05-17,4902,Pending
PO10044,Sunflower Oil 5L,Om Distributors,2024/09/16,2024-09-21,3770,In Transit
PO10045,SKU145,Global Supplies,2022/06/22,2022-07-03,3365,Delayed
PO10046,SKU148,Prime Wholesale,2023/11/05,2023-11-13,4236,Cancelled
PO10047,SKU104,Prime Wholesale,2023/05/04,2023-05-07,4338,Cancelled
PO10048,SKU109,Om Distributors,2022/12/21,2022-12-25,1169,Delivered
PO10049,Detergent 500g,FreshSource Ltd,2022/12/20,2022-12-26,402,In Transit
PO10050,SKU129,Prime Wholesale,2022/04/27,2022-05-02,3993,In Transit
PO10051,SKU142,ABC Traders,2024/05/20,2024-06-02,3376,Cancelled
PO10052,Peanut Butter Crunchy 1kg,Om Distributors,2023/08/19,2023-08-26,3011,Delayed
PO10053,SKU133,ABC Traders,2023/08/30,2023-09-21,676,Cancelled
PO10054,Peanut Butter Smooth 200g,ABC Traders,2022/01/05,2022-01-27,3374,Cancelled
PO10055,Detergent 500g,FreshSource Ltd,2024/05/12,2024-05-15,2039,Delivered
PO10056,Detergent 500g,FreshSource Ltd,2024/09/17,2024-10-08,4887,Delayed
PO10057,Detergent 500g,FreshSource Ltd,2023/11/30,2023-12-24,2723,Pending
PO10058,SKU121,FreshSource Ltd,2023/07/18,,1447,Delayed
PO10059,SKU138,ABC Traders,2023/02/03,2023-02-13,3304,Delivered
PO10060,SKU150,Prime Wholesale,2022/04/29,2022-05-29,1870,Delivered
PO10061,SKU124,FreshSource Ltd,2022/10/24,2022-10-28,559,Delivered
PO10062,SKU131,Om Distributors,2023/04/16,2023-05-03,3768,Delivered
PO10063,SKU143,Prime Wholesale,2024/07/06,2024-07-11,856,Delivered
PO10064,Milk 500ml,Global Supplies,2024/04/07,2024-04-22,2955,Pending
PO10065,SKU154,ABC Traders,2023/06/12,2023-06-21,3720,Cancelled
PO10066,SKU112,ABC Traders,2024/08/02,2024-08-09,4398,Delayed
PO10067,SKU150,FreshSource Ltd,2022/08/31,2022-09-23,4753,In Transit
PO10068,Coffee 200g,FreshSource Ltd,2024/06/18,2024-06-24,3875,Pending
PO10069,Milk 500ml,Prime Wholesale,2023/06/20,2023-07-13,2167,Pending
PO10070,Biscuits 500g,Global Supplies,2024/06/13,2024-07-01,3930,Delayed
PO10071,Sunflower Oil 1L,Prime Wholesale,2023/05/20,,3460,In Transit
PO10072,SKU140,Om Distributors,2023/07/10,2023-08-07,2830,Pending
PO10073,Milk 1L,Global Supplies,2022/05/10,,354,Delayed
PO10074,SKU142,Global Supplies,2024/05/02,,1163,Pending
PO10075,SKU143,ABC Traders,2022/10/07,2022-10-18,1451,Delayed
PO10076,Sunflower Oil 2L,FreshSource Ltd,2022/06/03,2022-06-07,544,Cancelled
PO10077,Peanut Butter Crunchy 1kg,Om Distributors,2024/04/24,2024-05-03,1138,Pending
PO10078,Biscuits 500g,Om Distributors,2023/10/19,,3090,Cancelled
PO10079,Detergent 500g,Om Distributors,2022/01/25,2022-02-06,4051,Delayed
PO10080,SKU141,Prime Wholesale,2024/06/28,2024-07-26,1840,Cancelled
PO10081,SKU151,Global Supplies,2022/01/13,2022-02-06,4503,Delayed
PO10082,SKU145,FreshSource Ltd,2023/08/25,2023-09-22,279,Cancelled
PO10083,Milk 500ml,ABC Traders,2024/05/03,2024-05-28,3406,Delivered
PO10084,SKU101,Global Supplies,2023/06/01,2023-06-09,2125,Delivered
PO10085,SKU124,ABC Traders,2022/06/09,2022-06-17,867,Cancelled
PO10086,Sunflower Oil 5L,Global Supplies,2024/04/13,2024-05-12,2139,Delivered
PO10087,SKU141,Om Distributors,2023/03/22,2023-04-21,3884,Cancelled
PO10088,SKU144,FreshSource Ltd,2023/09/16,2023-10-09,1526,Pending
PO10089,SKU141,FreshSource Ltd,2024/03/23,2024-04-20,4272,In Transit
PO10090,SKU124,ABC Traders,2024/09/25,,4437,Cancelled
PO10091,SKU111,Om Distributors,2024/07/24,,548,Delivered
PO10092,SKU127,Global Supplies,2024/07/22,,1344,Delayed
PO10093,SKU117,FreshSource Ltd,2022/02/12,,3007,In Transit
PO10094,Detergent 1kg,ABC Traders,2023/09/17,2023-10-07,2816,In Transit
PO10095,SKU107,ABC Traders,2022/01/15,2022-01-19,3867,Delayed
PO10096,SKU139,Om Distributors,2022/07/23,2022-08-15,1692,Cancelled
PO10097,SKU151,Global Supplies,2024/02/14,2024-03-14,3194,In Transit
PO10098,SKU114,FreshSource Ltd,2022/02/07,,4058,Delivered
PO10099,Peanut Butter Smooth 200g,ABC Traders,2023/05/31,2023-06-18,2931,Pending
PO10100,Biscuits 200g,FreshSource Ltd,2022/12/05,2023-01-02,1075,Delayed
PO10101,SKU108,ABC Traders,2023/10/18,2023-10-29,1577,Delivered
PO10102,SKU151,Om Distributors,2024/01/28,2024-02-06,4401,In Transit
PO10103,SKU146,Prime Wholesale,2022/05/09,2022-05-17,3162,Cancelled
PO10104,SKU145,Global Supplies,2023/12/26,2024-01-02,3478,Delivered
PO10105,SKU101,Global Supplies,2023/06/09,2023-06-19,1271,In Transit
PO10106,Sunflower Oil 5L,FreshSource Ltd,2024/03/15,,4714,Delivered
PO10107,SKU151,Global Supplies,2024/07/21,2024-07-28,2613,Cancelled
PO10108,Coffee 200g,ABC Traders,2023/10/25,,279,Delivered
PO10109,Milk 1L,ABC Traders,2023/08/14,2023-09-12,1059,In Transit
PO10110,SKU110,ABC Traders,2023/12/25,,1886,Delayed
PO10111,SKU155,Prime Wholesale,2023/08/27,2023-09-07,4347,Pending
PO10112,SKU155,Om Distributors,2023/01/06,2023-01-18,3266,Delayed
PO10113,Tea 500g,FreshSource Ltd,2023/02/06,2023-03-07,2214,In Transit
PO10114,Peanut Butter Smooth 1kg,Prime Wholesale,2023/06/18,2023-07-01,1058,Cancelled
PO10115,SKU136,Global Supplies,2023/06/05,2023-06-11,2123,Delivered
PO10116,Biscuits 100g,Om Distributors,2024/07/12,2024-07-30,4354,Delayed
PO10117,Biscuits 100g,Global Supplies,2022/09/26,2022-10-01,4215,Cancelled
PO10118,Biscuits 100g,ABC Traders,2024/03/13,,1641,Pending
PO10119,Peanut Butter Crunchy 1kg,ABC Traders,2022/12/27,,1007,In Transit
PO10120,SKU131,Global Supplies,2023/01/05,2023-01-22,3681,Delayed
PO10121,SKU157,Om Distributors,2022/11/26,2022-12-03,2959,Delayed
PO10122,Coffee 200g,Om Distributors,2023/01/04,2023-01-14,1833,In Transit
PO10123,SKU130,ABC Traders,2024/08/14,2024-09-06,4072,Cancelled
PO10124,Peanut Butter Crunchy 500g,ABC Traders,2024/03/28,2024-04-10,4457,In Transit
PO10125,SKU113,Om Distributors,2022/11/30,,615,Cancelled
PO10126,SKU148,Om Distributors,2023/11/07,2023-11-30,1645,Cancelled
PO10127,SKU100,Om Distributors,2022/04/21,2022-05-19,3779,Cancelled
PO10128,Milk 500ml,ABC Traders,2024/07/26,2024-08-04,467,Pending
PO10129,Milk 1L,ABC Traders,2023/05/29,2023-06-19,1950,Delivered
